Date,Code,weigh,temperature,Humidity(out),PH,Humidity,sum,result
1,B1,0,25,75,7,7,0,fail
2,B1,0,25,75,7,6.5,0,fail
3,B1,50,25,75,7,6.2,50,bad
4,B1,0,25,75,7,7,0,fail
5,B1,0,25,75,7,8,0,fail
6,B1,0,25,75,7,5.8,0,fail
7,B1,0,25,75,7,8.5,0,fail
8,B1,0,25,75,7,7.3,0,fail
9,B1,0,25,75,7,9,0,fail
10,B1,0,25,75,7,9.2,0,fail
11,B1,0,25,75,7,8,0,fail
12,B1,0,25,75,7,8.2,0,fail
13,B1,0,25,75,7,7,0,fail
14,B1,0,25,75,7,7.8,0,fail
15,B1,0,25,75,7,6,0,fail
16,B1,0,25,75,7,5.5,0,fail
17,B1,0,25,75,7.2,5,0,fail
18,B1,0,25,75,7.2,6.5,0,fail
19,B1,0,25,75,7.2,4.8,0,fail
20,B1,0,25,75,7.2,6.7,0,fail
21,B1,0,25,75,7.2,5.5,0,fail
22,B1,0,25,75,7.2,4.8,0,fail
23,B1,0,25,75,7.2,4.8,0,fail
24,B1,0,25,75,7.2,5.8,0,fail
25,B1,0,25,75,7.2,6.2,0,fail
26,B1,0,25,75,7.2,5,0,fail
27,B1,0,25,75,7.2,4.7,0,fail
28,B1,135,25,75,7.2,7.9,185,over
29,B1,0,25,75,7.2,8.8,0,fail
1,B2,0,25,75,7,8.8,0,fail
2,B2,0,25,75,7,7.2,0,fail
3,B2,0,25,75,7,5.2,0,fail
4,B2,0,25,75,7,7,0,fail
5,B2,0,25,75,7,8,0,fail
6,B2,0,25,75,7,7.3,0,fail
7,B2,90,25,75,7,8,90,good
8,B2,0,25,75,7,8.2,0,fail
9,B2,0,25,75,7,7.8,0,fail
10,B2,0,25,75,7,8,0,fail
11,B2,0,25,75,7,7.8,0,fail
12,B2,0,25,75,7,7,0,fail
13,B2,0,25,75,7,6.8,0,fail
14,B2,0,25,75,7,7,0,fail
15,B2,0,25,75,7,7.5,0,fail
16,B2,0,25,75,7,8,0,fail
17,B2,0,25,75,7,5,0,fail
18,B2,0,25,75,7,6.5,0,fail
19,B2,0,25,75,7,4.8,0,fail
20,B2,0,25,75,7,6.7,0,fail
21,B2,0,25,75,7,5.5,0,fail
22,B2,0,25,75,7.2,4.8,0,fail
23,B2,0,25,75,7.2,5,0,fail
24,B2,0,25,75,7.2,6.5,0,fail
25,B2,0,25,75,7.2,6.2,0,fail
26,B2,0,25,75,7.2,7,0,fail
27,B2,0,25,75,7.2,4.7,0,fail
28,B2,0,25,75,7.2,7.9,0,fail
29,B2,20,25,75,7.2,4.9,110,very bad
1,B3,0,25,75,6.8,9,0,fail
2,B3,0,25,75,6.8,9.2,0,fail
3,B3,0,25,75,6.8,9.5,0,fail
4,B3,0,25,75,6.8,9,0,fail
5,B3,0,25,75,7,8,0,fail
6,B3,0,25,75,7,7.2,0,fail
7,B3,0,25,75,7,8.5,0,fail
8,B3,50,25,75,7,6.5,50,bad
9,B3,0,25,75,7,7,0,fail
10,B3,0,25,75,7,7.2,0,fail
11,B3,0,25,75,7,8,0,fail
12,B3,0,25,75,7,8.5,0,fail
13,B3,0,25,75,7,7.8,0,fail
14,B3,0,25,75,7,6,0,fail
15,B3,0,25,75,7,6.2,0,fail
16,B3,0,25,75,7,6.5,0,fail
17,B3,0,25,75,7,5,0,fail
18,B3,20,25,75,7,4.8,70,very bad
19,B3,0,25,75,7,6,0,fail
20,B3,0,25,75,7,6.7,0,fail
21,B3,0,25,75,7,5.5,0,fail
22,B3,0,25,75,7,7,0,fail
23,B3,0,25,75,7.2,7.5,0,fail
24,B3,0,25,75,7.2,6.5,0,fail
25,B3,0,25,75,7.2,6.2,0,fail
26,B3,0,25,75,7.2,7,0,fail
27,B3,0,25,75,7.2,4.7,0,fail
28,B3,10,25,75,7.2,3.8,80,very bad
29,B3,0,25,75,7.2,6,0,fail
1,B4,0,25,75,7,7,0,fail
2,B4,0,25,75,7,6.5,0,fail
3,B4,0,25,75,7,5.2,0,fail
4,B4,0,25,75,7,7,0,fail
5,B4,0,25,75,7,8,0,fail
6,B4,0,25,75,7,7.2,0,fail
7,B4,70,25,75,7,8.5,70,normal
8,B4,0,25,75,7,8.5,0,fail
9,B4,0,25,75,7,9,0,fail
10,B4,0,25,75,7,8.8,0,fail
11,B4,0,25,75,7,8,0,fail
12,B4,0,25,75,7,8.2,0,fail
13,B4,0,25,75,7,7,0,fail
14,B4,0,25,75,7,7.8,0,fail
15,B4,0,25,75,7,6,0,fail
16,B4,0,25,75,7,6.5,0,fail
17,B4,0,25,75,7.2,5,0,fail
18,B4,60,25,75,7.2,6.5,130,normal
19,B4,0,25,75,7.2,4.8,0,fail
20,B4,0,25,75,7.2,6.7,0,fail
21,B4,0,25,75,7.2,5.5,0,fail
22,B4,0,25,75,7.2,4.8,0,fail
23,B4,0,25,75,7.2,4.8,0,fail
24,B4,0,25,75,7.2,6.5,0,fail
25,B4,0,25,75,7.2,6.2,0,fail
26,B4,0,25,75,7.2,7,0,fail
27,B4,0,25,75,7.2,4.7,0,fail
28,B4,90,25,75,7.2,7.8,220,good
29,B4,0,25,75,7.2,8,0,fail
1,B5,0,25,75,7,7,0,fail
2,B5,0,25,75,7,6.5,0,fail
3,B5,0,25,75,7,6.2,0,fail
4,B5,0,25,75,7,7,0,fail
5,B5,0,25,75,7,8,0,fail
6,B5,0,25,75,7,5.8,0,fail
7,B5,0,25,75,7,6.2,0,fail
8,B5,80,25,75,7,8.5,80,good
9,B5,0,25,75,7,7.5,0,fail
10,B5,50,25,75,7,5.8,130,bad
11,B5,0,25,75,7,6,0,fail
12,B5,0,25,75,7,5,0,fail
13,B5,0,25,75,7.2,6.5,0,fail
14,B5,0,25,75,7.2,6.7,0,fail
15,B5,0,25,75,7.2,5.8,0,fail
16,B5,0,25,75,7.2,5,0,fail
17,B5,0,25,75,7.2,6.2,0,fail
18,B5,0,25,75,7.2,6.5,0,fail
